,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Caol Ila 12 Year Old,https://www.masterofmalt.com/whiskies/caol-ila-12-year-old-whisky/,," Fresh, herbal. Rubbed peppermint leaves, stemmy, damp grass, smoky. Oily, cigar leaves, smoked ham, hickory. Lemon peels at the harbour."," Good body, oily, tar, elegant smoke. Hints of boiled sweets."," Long, peppery, spicy warmth, smoke.",Scotch Whisky,Islay Whisky,Caol Ila,Caol Ila,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenfarclas 105,https://www.masterofmalt.com/whiskies/glenfarclas-105-whisky/,," Great depth, Sherry. Creamy and nutty. Honey on toast, touch of smoky coffee."," Silken, spicy and peppery oak. Almond, praline, hazelnut, dried peels, fruity. Touch of Armagnac, hint of rancio perhaps?"," Long, peppery and nutty.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,10 year old Whisky,,Single Malt Whisky,,60.0%,70cl
Ben Nevis 19 Year Old 1998 (cask Z98/669) - Ancient Mariner,https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-19-year-old-ancient-mariner-whisky/,," Dates, dark chocolate, a soft hint of earthy peat and layers of oak."," Continued chocolatey deliciousness, with heavy vanilla and some almost meaty malt notes.", Lingering dried apple and banana chips and some smoke.,Scotch Whisky,Highland Whisky,Ben Nevis,Ancient Mariner,19 year old Whisky,1998,Single Malt Whisky,,46.1%,50cl
Ben Nevis 10 Year Old,https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-10-year-old-whisky/,, Fresh and quite dry. A supple greenness with soft leafy notes with a rich fruitiness. Hints of orange and Seville marmalade with a light vinous character and nutty undertones., Gentle dryness. Toffee. Looming omnipresent are solid peat notes with a bitter sweetness.," Silken, toffee and caramel notes balanced with a touch of mochaccino and dark chocolate on the tail.",Scotch Whisky,Highland Whisky,Ben Nevis,Ben Nevis,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
anCnoc 12 Year Old,https://www.masterofmalt.com/whiskies/ancnoc-12-year-old-whisky/,," Aromatic, quite robust. Honeysuckle, fresh flowers, cereals, barley."," Medium, good sweetness. Madeira, winter spices, mocha, Crème de Cacao, herbal hints and toasted granary bread."," Medium length, great interplay between oak and barley.",Scotch Whisky,Highland Whisky,Knockdhu,Knockdhu,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Bunnahabhain 12 Year Old,https://www.masterofmalt.com/whiskies/bunnahabhain-12-year-old-whisky/,," Fresh, sweet. Seaweed, malt."," Soft, supple. Sherry, nutty. A little sweetness, malty, juicy sultana. Slightly coastal."," Sherried, mochaccino, herbal, balanced salty tang.",Scotch Whisky,Islay Whisky,Bunnahabhain,Bunnahabhain,12 year old Whisky,,Single Malt Whisky,,46.3%,70cl
Glenfiddich Experimental Series - Winter Storm (Batch 2),https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-experimental-series-winter-storm-whisky/,, A bouquet of tropical fruit and candied sweets are perfectly balanced with underlying wine notes., Soft sweet notes reminiscent of candied fruit and Turkish delight develop into flavours of mouthwatering lychee. The fusion of sweet flavours is soon met with a rich drying sensation from the icewine., Short and crisp.,Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,21 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Kilchoman Machir Bay Gift Pack with 2x Glasses,https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-machir-bay-gift-pack-with-2x-glasses-whisky/,," Citrus zests, crumbly vanilla biscuits and layers of elegant peat smoke.", A generous burst of tropical fruit and dried raisin opens the palate. Warming smoke continues to waft playfully., Sherried fruits and sprinkle of cracked black pepper.,Scotch Whisky,Islay Whisky,Kilchoman,Kilchoman,,,Single Malt Whisky,,46.0%,70cl
Talisker 2007 (bottled 2017) Amoroso Cask Finish - Distillers Edition,https://www.masterofmalt.com/whiskies/talisker/talisker-2007-bottled-2017-amoroso-cask-finish-distillers-edition-whisky/,," Toffee, seaweed, a sharp hint of fresh citrus fruit, milky coffee."," Juicy pineapple and apple, balanced by a kick of sea spray. Some light vegetal hints of fresh thyme ans basil.", Lingering smoke and dried fruit.,Scotch Whisky,Island Whisky,Talisker,Talisker,,2007,Single Malt Whisky,2017,45.8%,70cl
Tobermory 12 Year Old,https://www.masterofmalt.com/whiskies/tobermory/tobermory-12-year-old-whisky/,," Pear, peach and apple, with a dusting of brown sugar. Greek yogurt, barley and a hint of cinnamon pastries."," Rounded malt notes once again, now a touch oily. Still packs a hearty helping of stone fruit sweetness. "," A flash of orange peel, soft sawdust, toffee and dates.",Scotch Whisky,Island Whisky,Tobermory,Tobermory,12 year old Whisky,,Single Malt Whisky,,46.3%,70cl
Glenfiddich 21 Year Old Reserva Rum Cask Finish,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-21-year-old-reserva-rum-cask-whisky/,," Barley sugar, malt, dark brown sugar, orange peels, marmalade, manuka honey, chocolate, foam bananas."," Full, fruitcake, spices, buttery vanilla, malty. Oak."," Long, mochaccino, marmalade.",Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,21 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Macallan 1938 (bottled 1980s) - Gordon & MacPhail,https://www.masterofmalt.com/whiskies/the-macallan/macallan-1938-bottled-1980s-gordon-and-macphail-whisky/,,,,,,,,,,,,,,
Ledaig 18 Year Old,https://www.masterofmalt.com/whiskies/tobermory/ledaig-18-year-old-whisky/,,,,,,,,,,,,,,
Smokehead,https://www.masterofmalt.com/whiskies/smokehead/smokehead-whisky/,, Smoke! Lapsang souchong. Cool wood smoke. Thick and full.," Big, puckering peat. Smoky, fruity sweetness, touch of sherry, sultana. Herbal."," Herbal, tangy fruits and more peat smoke!",Scotch Whisky,Islay Whisky,Smokehead,Smokehead,,,Single Malt Whisky,,43.0%,70cl
Edradour 10 Year Old with 2x Glasses,https://www.masterofmalt.com/whiskies/edradour-10-year-old-with-2-glasses-whisky/,," A medium-bodied nose with hints of dark fruits, Oloroso sherry, molasses, a touch of custard."," A sweet, thick palate with dark rum, custard apples, chocolate malt and golden syrup. Decadent and tasty!", Christmas cake and custard on the tail.,Scotch Whisky,Highland Whisky,Edradour,Edradour,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Laphroaig Lore,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-lore-whisky/,, Rich and smoky with seaside minerals with a hint of ash and bitter chocolate drops. Vanilla follows with oily unroasted chestnuts and a hint of fudge with a malty sweetness. A drop of water adds a creamy clotted cream note with fruit appearing in the form of unripe citrus in a flan glaze., Richly peaty with a spicy chilli bite., Short dry finish and a long sweet aftertaste.,Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,,,Single Malt Whisky,,48.0%,70cl
